% time	cellId	IMSI	RNTI	rsrp	sinr
0.263214	2	2	1	7.16323e-14	3.30122
0.264214	1	1	1	2.12244e-14	0.294347
0.264214	2	2	1	7.16323e-14	3.30122
0.265214	1	1	1	2.12244e-14	0.294347
0.265214	2	2	1	7.16323e-14	3.30122
0.266214	1	1	1	2.12244e-14	0.294347
0.266214	2	2	1	7.16323e-14	3.30122
0.267214	1	1	1	2.12244e-14	0.294347
0.267214	2	2	1	7.16323e-14	3.30122
0.268214	1	1	1	2.12244e-14	0.294347
0.268214	2	2	1	7.16323e-14	3.30122
0.269214	1	1	1	2.12244e-14	0.294347
0.269214	2	2	1	7.16323e-14	3.30122
0.270214	1	1	1	2.12244e-14	0.294347
0.270214	2	2	1	7.16323e-14	3.30122
0.271214	1	1	1	2.12244e-14	0.294347
0.271214	2	2	1	7.16323e-14	3.30122
0.272214	1	1	1	2.12244e-14	0.294347
0.272214	2	2	1	7.16323e-14	3.30122
0.273214	1	1	1	2.12244e-14	0.294347
0.273214	2	2	1	7.16323e-14	3.30122
0.274214	1	1	1	2.12244e-14	0.294347
0.274214	2	2	1	7.16323e-14	3.30122
0.275214	1	1	1	2.12244e-14	0.294347
0.275214	2	2	1	7.16323e-14	3.30122
0.276214	1	1	1	2.12244e-14	0.294347
0.276214	2	2	1	7.16323e-14	3.30122
0.277214	1	1	1	2.12244e-14	0.294347
0.277214	2	2	1	7.16323e-14	3.30122
0.278214	1	1	1	2.12244e-14	0.294347
0.278214	2	2	1	7.16323e-14	3.30122
0.279214	1	1	1	2.12244e-14	0.294347
0.279214	2	2	1	7.16323e-14	3.30122
0.280214	1	1	1	2.12244e-14	0.294347
0.280214	2	2	1	7.16323e-14	3.30122
0.281214	1	1	1	2.12244e-14	0.294347
0.281214	2	2	1	7.16323e-14	3.30122
0.282214	1	1	1	2.12244e-14	0.294347
0.282214	2	2	1	7.16323e-14	3.30122
0.283214	1	1	1	2.12244e-14	0.294347
0.283214	2	2	1	7.16323e-14	3.30122
0.284214	1	1	1	2.12244e-14	0.294347
0.284214	2	2	1	7.16323e-14	3.30122
0.285214	1	1	1	2.12244e-14	0.294347
0.285214	2	2	1	7.16323e-14	3.30122
